DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area,,,,,
S01008443,Bonaly and The Pentlands - 06,City of Edinburgh,617,360,6397,5,10,19,92,3%,18,6001,3%,9,6078,20,11,0,77,11%,6%,57,6861,0%,6.33,30,0%,31%,6952,4.17,3.3,3.22,3.99,5.01,4.42,7.02,5.46,9.87,0%,2627,15,246,2795,9,4,2%,1%,6713,3430.022042,324926.9342,,,,,
S01008444,Colinton and Kingsknowe - 01,City of Edinburgh,872,549,6271,5,9,18,90,3%,22,6202,1%,7,6837,40,8,13,106,15%,0%,62,6178,0%,5.79,47,5%,4%,5643,2.57,2.29,3.42,3.21,4.77,7.85,8.74,9.02,18.62,0%,2162,16,186,3621.5,57,6,9%,1%,3675,4962.821324,633908.7273,,,,,
S01008445,Colinton and Kingsknowe - 02,City of Edinburgh,1170,685,5299,4,8,16,76,6%,70,4613,2%,11,6676,75,76,10,90,13%,2%,99,4271,91%,5.73,69,0%,4%,4755,3.33,1.87,3.32,3.35,4.4,8.25,8.27,9.77,20.01,1%,2124,17,147,4237,95,6,10%,1%,3333.5,3540.17015,525311.8553,,,,,
S01008446,Colinton and Kingsknowe - 03,City of Edinburgh,1180,650,6910,5,10,20,100,1%,10,6913,1%,5,6936,20,12,0,59,9%,0%,54,6922,0%,6.25,18,0%,12%,6935,3.31,1.77,3.08,4.01,4.43,8.04,6.6,7.64,18.57,3%,2485,7,60,5967,13,3,2%,0%,6743,6399.618005,754069.9554,,,,,
S01008447,Colinton and Kingsknowe - 04,City of Edinburgh,734,406,6735,5,10,20,97,1%,5,6946,2%,7,6653,20,43,25,54,11%,0%,58,6826,0%,6.5,21,0%,19%,6854,3.96,4.06,3.61,4.64,5.64,4.04,11.95,9.4,10.51,0%,1616,4,55,6060,14,11,2%,2%,6273,4684.041515,357166.5617,,,,,
S01008448,Colinton and Kingsknowe - 05,City of Edinburgh,761,475,6241,5,9,18,90,2%,15,6493,3%,15,5747.5,40,9,22,39,12%,15%,51,6593,94%,5.94,54,3%,19%,6022,2.98,5.06,4.75,3.99,6.57,3.05,13.22,10.5,7.69,0%,1745,6,80,5541,35,3,5%,0%,5770,5453.677931,751343.2974,,,,,
S01008449,Clovenstone and Wester Hailes - 01,City of Edinburgh,867,567,1254,1,2,4,18,24%,210,934,17%,98,1012,155,168,219,134,20%,5%,128,1380,75%,5.33,142,7%,10%,2031,4.38,2.4,3.69,2.2,3.73,4.32,8.15,9.37,11.32,0%,3539,13,152,4158.5,125,14,16%,2%,1579,1829.233727,139920.9623,,,,,
S01008450,Clovenstone and Wester Hailes - 02,City of Edinburgh,660,429,1471,2,3,5,22,23%,155,1012,10%,41,2832,125,87,288,156,20%,8%,103,2119,75%,4.36,129,10%,3%,806,4.53,2.59,3.64,2.89,3.62,4.17,7.92,8.73,10.73,0%,3336,33,507,978,116,11,21%,2%,824,1545.455427,79047.39225,,,,,
S01008451,Clovenstone and Wester Hailes - 03,City of Edinburgh,735,487,315,1,1,1,5,28%,209,533,26%,125,232,225,164,443,165,23%,7%,109,534,65%,4.65,208,6%,3%,227,3.1,0.87,2.45,2.86,2.44,3.09,3.48,7.06,8.76,0%,6663,70,951,237,159,10,23%,1%,698,1218.629138,62012.42784,,,,,
S01008452,Clovenstone and Wester Hailes - 04,City of Edinburgh,676,431,477,1,1,2,7,33%,222,266,22%,96,446,205,304,186,113,19%,19%,121,793,72%,5.28,171,6%,8%,1418,4.01,1.86,3.18,2.83,3.29,3.74,6.43,6.78,8.79,0%,4802,43,629,621,163,4,26%,1%,541,1161.102237,52595.44204,,,,,
S01008453,Clovenstone and Wester Hailes - 05,City of Edinburgh,693,497,3314,3,5,10,48,11%,75,3196,6%,32,3999,105,133,87,73,16%,8%,98,3191,72%,5.32,121,1%,4%,1914,3.79,1.33,3,2.95,3.17,3.54,6.17,7.22,9.23,0%,5409,11,161,4000,192,4,38%,1%,135,1201.515281,53552.77342,,,,,
S01008454,The Calders - 01,City of Edinburgh,940,638,964,1,2,3,14,27%,251,694,18%,112,972,190,211,133,129,20%,6%,120,1060,73%,5.11,139,7%,4%,1371,3.44,2.52,2.81,3.73,2.83,3.53,11,7.29,8.91,0%,4052,27,291,2332,168,16,18%,2%,1304,2370.409891,89683.37794,,,,,
S01008455,The Calders - 02,City of Edinburgh,987,669,983,1,2,3,15,23%,229,1040,18%,122,892,155,165,403,97,20%,7%,101,1675,73%,4.6,166,9%,5%,762,2.87,3.17,2.38,3.35,2.13,3.8,11.44,6.2,10.59,0%,4317,54,544,854,213,4,21%,0%,957,2438.411858,161309.1362,,,,,
S01008456,The Calders - 03,City of Edinburgh,996,685,288,1,1,1,5,31%,309,352,26%,180,190,230,261,377,185,22%,8%,144,314,73%,4.6,155,6%,3%,785,2.74,3,1.42,2.35,1.96,3.46,11.04,4.73,10.96,0%,5480,67,671,561,203,26,21%,3%,758,1827.078361,102311.9447,,,,,
S01008457,The Calders - 04,City of Edinburgh,609,348,1080,1,2,4,16,22%,131,1230,18%,62,918,180,169,106,125,25%,3%,123,1012,77%,4.93,162,6%,2%,1052,1.99,2.3,1.56,2.7,1.7,2.89,9.61,5.24,10.11,0%,5967,29,482,1082.5,120,9,19%,1%,1059,1876.934128,94679.1197,,,,,
